epoch,stage,stage_epoch,encoder_frozen,encoder_mode,encoder_lr,classifier_lr,weight_decay,early_stopping_patience,epochs_without_improvement,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,linear_probe,1,1,frozen,0.0,0.001,0.0001,5,0,0.3224152049700419,0.8841333333333333,0.8849391169388022,0.8839433176531699,0.8841693848622348,0.7429816095034282,0.75,0.7557900210218055,0.75,0.7466449468505557
2,linear_probe,2,1,frozen,0.0,0.001,0.0001,5,0,0.2949630594730377,0.8985333333333333,0.8990498417973803,0.8987577676324764,0.8985967646520727,0.6965893571717399,0.7571428571428571,0.7591516013735796,0.7571428571428571,0.7558545501447202
3,linear_probe,3,1,frozen,0.0,0.001,0.0001,5,1,0.27913180897235873,0.8994666666666666,0.9004217134655979,0.8992119872402351,0.8995533834038669,0.7774908440453666,0.7438095238095238,0.7565776664235303,0.7438095238095238,0.7412368562635886
4,linear_probe,4,1,frozen,0.0,0.001,0.0001,5,2,0.26401346793174746,0.9048,0.9054427945492901,0.9048370093570707,0.904872600587066,0.7513698191869826,0.7461904761904762,0.7484265953922945,0.7461904761904762,0.7439505398142382
5,linear_probe,5,1,frozen,0.0,0.001,0.0001,5,3,0.28435786242485045,0.9016,0.9023145466549458,0.9015382228375183,0.9016242110509513,0.7738637999125889,0.7480952380952381,0.7531052080273382,0.748095238095238,0.7453892867961325
6,linear_probe,6,1,frozen,0.0,0.001,0.0001,5,4,0.2765433571497599,0.902,0.9025698612749289,0.9021034950241207,0.9020641702466289,0.803259307770502,0.7395238095238095,0.7489756970831519,0.7395238095238096,0.7341964919457039
7,linear_probe,7,1,frozen,0.0,0.001,0.0001,5,5,0.2728475033601125,0.9013333333333333,0.9011589513538546,0.9009665043353158,0.9009256842339889,0.7319579601287842,0.7495238095238095,0.7520850047731767,0.7495238095238096,0.7478699042138998
8,last_block_finetune,1,0,last_block,1e-05,0.0001,0.0001,5,0,0.3052151738484701,0.8878666666666667,0.8882970855836131,0.8877774268615232,0.887863841660507,0.709070527667091,0.7561904761904762,0.7646947912474441,0.7561904761904762,0.7539680014206723
9,last_block_finetune,2,0,last_block,1e-05,0.0001,0.0001,5,1,0.2742725298245748,0.8989333333333334,0.8996641930772696,0.898892893719489,0.8989953375907095,0.7634123248145693,0.7428571428571429,0.7531669729069442,0.7428571428571429,0.7397148565012556
10,last_block_finetune,3,0,last_block,1e-05,0.0001,0.0001,5,2,0.274061189254125,0.9029333333333334,0.9031670882236703,0.9027967822155055,0.9029040340271255,0.7425445217177982,0.75,0.755958763886226,0.75,0.7468717547647884
11,last_block_finetune,4,0,last_block,1e-05,0.0001,0.0001,5,3,0.2547153101285299,0.9097333333333333,0.910137307855173,0.9098863663756189,0.9097705374100006,0.7427233616511028,0.7528571428571429,0.7615756401517656,0.752857142857143,0.7503003282834279
12,last_block_finetune,5,0,last_block,1e-05,0.0001,0.0001,5,4,0.2398029500802358,0.9149333333333334,0.9150965193587629,0.9149428218838823,0.9148437587897976,0.7956334791864668,0.7504761904761905,0.7595524509785108,0.7504761904761906,0.7477910394735637
